pa_s,poblac,densidad,urbana,relig,espvidaf,espvidam,alfabet,inc_pob,mortinf,pib_cap,regi_n,calor_as,sida,tasa_nat,tasa_mor,tasasida,log_pib,logtsida,nac_def,fertilid,log_pob,alfabmas,alfabfem,clima,region2
Acerbaján,7400,86,54,Musulma.,75,67,98,1.4,35,3000,5,,,23,7,,3.4771212547,,3.2857142857,2.8,3.8692317197,100,100,3,5
Afganistán,20500,25,18,Musulma.,44,45,29,2.8,168,205,3,,0,53,22,0,2.3117538611,0,2.4090909091,6.9,4.3117538611,44,14,3,3
Alemania,81200,227,85,Protest.,79,73,99,0.36,6.5,17539,1,3443,11179,11,11,13.767241379,4.2440048281,1.6895435293,1,1.47,4.9095560292,,,8,1
Arabia Saudí,18000,7.7,77,Musulma.,70,66,62,3.2,52,6651,5,2874,61,38,6,0.3388888889,3.8228869478,0.8053997046,6.3333333333,6.67,4.2552725051,73,48,1,5
Argentina,33900,12,86,Católica,75,68,95,1.3,25.6,3408,6,3113,3904,20,9,11.516224189,3.5324995861,1.6302793297,2.2222222222,2.8,4.5301996982,96,95,8,6
Armenia,3700,126,68,Ortodoxa,75,68,98,1.4,27,5000,5,,2,23,6,0.0540540541,3.6989700043,0.5579119379,3.8333333333,3.19,3.5682017241,100,100,,5
Australia,17800,2.3,85,Protest.,80,74,100,1.38,7.3,16848,1,3216,4727,15,8,26.556179775,4.2265483538,1.9267843936,1.875,1.9,4.2504200023,100,100,3,3
Austria,8000,94,58,Católica,79,73,99,0.2,6.7,18396,1,3495,1150,12,11,14.375,4.2647234009,1.7042039621,1.0909090909,1.5,3.903089987,,,8,1
Bahrein,600,828,83,Musulma.,74,71,77,2.4,25,7875,5,,13,29,4,2.1666666667,3.8962505625,1.1672353193,7.25,3.96,2.7781512504,55,55,3,5
Bangladesh,125000,800,16,Musulma.,53,53,35,2.4,106,202,3,2021,1,35,11,0.0008576329,2.3053513694,0.2435904681,3.1818181818,4.7,5.096910013,47,22,5,3
Barbados,256,605,45,Protest.,78,73,99,0.21,20.3,6950,6,,418,16,8.4,139.33333333,3.8419848046,2.6841761021,1.9047619048,1.78,2.4082399653,99,99,5,6
Bélgica,10100,329,96,Católica,79,73,99,0.2,7.2,17912,1,,1603,12,11,15.871287129,4.2531440806,1.7382907923,1.0909090909,1.7,4.0043213738,,,8,1
Bielorusia,10300,50,65,Ortodoxa,76,66,99,0.32,19,6500,2,,10,13,11,0.0970873786,3.8129133566,0.6272382797,1.1818181818,1.88,4.0128372247,100,100,8,2
Bolivia,7900,6.9,51,Católica,64,59,78,2.7,75,730,6,1916,87,34,9,1.1012658228,2.8633228601,1.0194793474,3.7777777778,4.21,3.8976270913,85,71,4,6
Bosnia,4600,87,36,Musulma.,78,72,86,0.7,12.7,3098,2,,,14,6.39,,3.4910814134,,2.1909233177,,3.6627578317,,,8,2
Botswana,1359,2.4,25,Tribal,66,60,72,2.7,39.3,2677,4,2375,1415,32,8,101.07142857,3.4276483712,2.5172461241,4,5.1,3.1332194567,32,16,4,4
Brasil,156600,18,75,Católica,67,57,81,1.28,66,2354,6,2751,49312,21,9,31.489144317,3.3718064585,1.9935731318,2.3333333333,2.7,5.1947917577,82,80,5,6
Bulgaria,8900,79,68,Ortodoxa,75,69,93,-0.2,12,3831,2,,24,13,12,0.2696629213,3.583312152,0.7694213748,1.0833333333,1.8,3.9493900066,,,8,2
Burkina Faso,10000,36,15,Animista,50,47,18,2.81,118,357,4,2288,4193,47,18,41.93,2.5526682161,2.1110813666,2.6111111111,6.94,4,28,9,5,4
Burundi,6000,216,5,Católica,50,46,50,2.26,105,208,4,1932,7225,44,21,120.41666667,2.318063335,2.6069777238,2.0952380952,6.8,3.7781512504,61,40,8,4
Camboya,10000,55,12,Budista,52,50,35,2.9,112,260,3,2166,0,45,16,0,2.414973348,0,2.8125,5.81,4,48,22,5,3
Camerún,13100,27,40,Animista,58,55,54,2.9,77,993,4,2217,3072,41,12,23.450381679,2.9969492485,1.8794465669,3.4166666667,5.7,4.1172712957,66,45,4,4
Canadá,29100,2.8,77,Católica,81,74,97,0.7,6.8,19904,1,3482,9511,14,8,32.683848797,4.298940363,2.0084759629,1.75,1.8,4.463892989,,,9,
Chile,14000,18,85,Católica,78,71,93,1.7,14.6,2591,6,2581,831,23,6,5.9357142857,3.413467413,1.4278894921,3.8333333333,2.5,4.1461280357,94,93,8,6
China,1205200,124,26,Taoista,69,67,78,1.1,52,377,3,2639,38,21,7,0.0031530037,2.5763413502,0.3160420679,3,1.84,6.081059123,87,68,8,3
Colombia,35600,31,70,Católica,75,69,87,2,28,1538,6,2598,4583,24,6,12.873595506,3.1869563355,1.6670167817,4,2.47,4.551449998,88,86,5,6
Corea del Norte,23100,189,60,Budista,73,67,99,1.83,27.7,1000,3,,0,24,5.5,0,3,0,4.3636363636,2.4,4.3636119799,99,99,8,3
Corea del Sur,45000,447,72,Protest.,74,68,96,1,21.7,6627,3,,19,16,6,0.0426966292,3.8213169706,0.5322047152,2.6666666667,1.65,4.6532125138,99,99,8,3
Costa Rica,3300,64,47,Católica,79,76,93,2.3,11,2031,6,2808,587,26,4,17.787878788,3.3077099234,1.7783810922,6.5,3.1,3.5185139399,93,93,5,6
Croacia,4900,85,51,Católica,77,70,97,-0.1,8.7,5487,2,,56,11,11,1.1428571429,3.7393349602,1.0270660871,1,1.65,3.69019608,,,6,2
Cuba,11100,99,74,Católica,78,74,94,0.95,10.2,1382,6,,245,17,7,2.2072072072,3.140508043,1.1715710219,2.4285714286,1.9,4.0453229788,95,93,5,6
Dinamarca,5200,120,85,Protest.,79,73,99,0.1,6.6,18277,1,3628,1411,12,12,27.134615385,4.2619049118,1.9351058864,1,1.7,3.7160033436,,,8,1
Ecuador,10700,39,56,Católica,73,67,88,2.01,39,1085,6,2531,381,26,6,3.3716814159,3.0354297382,1.275173581,4.3333333333,3.08,4.0293837777,90,86,5,6
Egipto,60000,57,44,Musulma.,63,60,48,1.95,76.4,748,5,3336,91,29,9,0.1516666667,2.8739015979,0.6857692832,3.2222222222,3.77,4.7781512504,63,34,1,5
El Salvador,5800,246,44,Católica,69,64,73,2.04,41,1078,6,2317,530,33,7,9.6363636364,3.0326187609,1.5731952846,4.7142857143,3.78,3.7634279936,76,70,5,6
Emiratos Árabes,2800,32,81,Musulma.,74,70,68,4.8,22,14193,5,,8,28,3,0.4705882353,4.1520742028,0.8600589372,9.3333333333,4.5,3.4471580313,70,63,1,5
España,39200,77,78,Católica,81,74,95,0.25,6.9,13047,1,3572,24202,11,9,61.739795918,4.1155106624,2.2809356754,1.2222222222,1.4,4.593286067,97,93,8,1
Estados Unidos,260800,26,75,Protest.,79,73,97,0.99,8.11,23474,1,3671,411907,15,9,157.93980061,4.3705871002,2.7523161411,1.6666666667,2.06,5.4163075871,97,97,8,
Estonia,1600,36,72,Protest.,76,67,99,0.52,19,6000,2,,3,14,12,0.1875,3.7781512504,0.7154845406,1.1666666667,2,3.2041199827,100,100,7,2
Etiopía,55200,47,12,Musulma.,54,51,24,3.1,110,122,4,1667,12958,45,14,23.474637681,2.0863598307,1.8798352089,3.2142857143,6.81,4.7419390777,32,16,5,4
Filipinas,69800,221,43,Católica,68,63,90,1.92,51,867,3,2375,136,27,7,0.1979621543,2.9380190975,0.7232966177,3.8571428571,3.35,4.8438554226,90,90,5,3
Finlandia,5100,39,60,Protest.,80,72,100,0.3,5.3,15877,1,3253,158,13,10,3.0980392157,4.2007684448,1.2537685804,1.3,1.8,3.7075701761,,,9,1
Francia,58000,105,73,Católica,82,74,99,0.47,6.7,18944,1,3465,30003,13,9.3,51.729310345,4.277471685,2.201645225,1.3978494624,1.8,4.7634279936,,,8,1
Gabón,1300,4.2,46,Católica,58,52,61,1.46,94,4283,4,2383,472,28,14,36.307692308,3.6317480744,2.0511609002,2,3.97,3.1139433523,74,48,5,4
Gambia,959,86,23,Musulma.,52,48,27,3.1,124,351,4,,277,46,16,25.181818182,2.5453071165,1.9064148697,2.875,6.29,2.9818186072,39,16,5,4
Georgia,5500,81,56,Ortodoxa,76,69,99,0.8,23,4500,2,,2,16,9,0.0363636364,3.6532125138,0.5153870017,1.7777777778,2.18,3.7403626895,100,100,6,2
Gran Bretaña,58400,237,89,Protest.,80,74,99,0.2,7.2,15974,1,3149,9025,13,11,15.453767123,4.2034136801,1.7290472946,1.1818181818,1.83,4.7664128471,,,8,1
Grecia,10400,80,63,Ortodoxa,80,75,93,0.84,8.2,8060,1,3825,916,10,10,8.8076923077,3.9063350418,1.5451563353,1,1.5,4.0170333393,98,89,8,1
Guatemala,10300,97,39,Católica,67,62,55,2.58,57,1342,6,2235,499,35,8,4.8446601942,3.1277525158,1.3710480145,4.375,4.76,4.0128372247,63,47,5,6
Haití,6500,231,29,Católica,47,43,53,1.63,109,383,6,2013,4987,40,19,71.242857143,2.583198774,2.3471901049,2.1052631579,5.94,3.8129133566,59,47,5,6
Honduras,5600,46,44,Católica,70,65,73,2.73,45,1030,6,2247,3473,35,6,62.017857143,3.0128372247,2.2829865414,5.8333333333,4.9,3.748188027,76,71,4,6
Hong Kong,5800,5494,94,Budista,80,75,77,-0.09,5.8,14641,3,,99,13,6,1.7068965517,4.1655707406,1.1128623255,2.1666666667,1.4,3.7634279936,90,64,5,3
Hungía,10500,111,64,Católica,76,67,99,-0.3,12.5,5249,2,3644,149,12,13,1.419047619,3.7200765728,1.0725051688,0.9230769231,1.8,4.0211892991,99,98,8,2
India,911600,283,26,Indú,59,58,52,1.9,79,275,3,2229,713,29,10,0.078214129,2.4393326938,0.6006991849,2.9,4.48,5.9598043165,64,39,6,3
Indonesia,199700,102,29,Musulma.,65,61,77,1.6,68,681,3,2750,49,24,9,0.0245368052,2.8331471119,0.4763910602,2.6666666667,2.8,5.3003780649,84,68,5,3
Irán,65600,39,57,Musulma.,67,65,54,3.46,60,1500,5,3181,92,42,8,0.1455696203,3.1760912591,0.6801647958,5.25,6.33,4.8169038394,64,43,2,5
Iraq,19900,44,72,Musulma.,68,65,60,3.7,67,1955,5,2887,26,44,7,0.1306532663,3.2911467617,0.6656164619,6.2857142857,6.71,4.2988530764,70,49,1,5
Irlanda,3600,51,57,Católica,78,73,98,0.3,7.4,12170,1,3778,392,14,9,10.888888889,4.0852905782,1.6121175774,1.5555555556,1.99,3.5563025008,,,8,1
Islandia,263,2.5,91,Protest.,81,76,100,1.1,4,17241,1,,31,16,7,10.333333333,4.2365624519,1.5953210211,2.2857142857,2.11,2.4199557485,,,8,1
Israel,5400,238,92,Judía,80,76,92,2.22,8.6,13066,5,,279,21,7,5.1666666667,4.1161426539,1.3888076136,3,2.83,3.7323937598,95,89,8,5
Italia,58100,188,69,Católica,81,74,97,0.21,7.6,17500,1,3504,21770,11,10,38.059440559,4.2430380487,2.0705822182,1.1,1.3,4.7641761324,98,96,6,1
Japón,125500,330,77,Budista,82,76,99,0.3,4.4,19860,3,2956,713,11,7,0.56812749,4.2979792442,0.8930775264,1.5714285714,1.55,5.0986437258,,,6,3
Jordania,3961,42,68,Musulma.,74,70,80,3.3,34,1157,5,2634,31,39,5,0.7045454545,3.063333359,0.9323560719,7.8,5.64,3.5978048424,89,70,2,5
Kenia,28200,49,24,Católica,55,51,69,3.07,74,323,4,2163,30126,42,11,111.57777778,2.5092025223,2.5675300873,3.8181818182,5.91,4.4502491083,80,58,4,4
Kuwait,1800,97,96,Musulma.,78,73,73,5.24,12.5,6818,5,3195,10,28,2,0.5555555556,3.8336569969,0.8890895361,14,4,3.2552725051,77,67,2,5
Letonia,2700,40,71,Protest.,75,64,99,0.5,21.5,7400,2,,8,14,12,0.2962962963,3.8692317197,0.7840526817,1.1666666667,2,3.4313637642,100,100,7,2
Líbano,3620,343,84,Musulma.,71,67,80,2,39.5,1429,5,,72,27,7,2.4827586207,3.1550322288,1.1994631213,3.8571428571,3.39,3.5587085705,88,73,6,5
Liberia,2900,29,45,Animista,57,54,40,3.3,113,409,4,2382,191,43,12,6.5862068966,2.611723308,1.4578977774,3.5833333333,6.8,3.4623979979,50,29,5,4
Libia,5500,2.8,82,Musulma.,65,62,64,3.7,63,5910,5,3324,10,45,8,0.1818181818,3.7715874809,0.7110947334,5.625,6.4,3.7403626895,75,50,6,5
Lituania,3800,58,69,Católica,77,68,99,0.3,17,6710,2,,5,15,10,0.1315789474,3.8267225202,0.6665569815,1.5,2,3.5797835966,99,98,7,2
Malasia,19500,58,43,Musulma.,72,66,78,2.3,25.6,2995,3,2774,107,29,5,0.5487179487,3.4763968267,0.8868901535,5.8,3.51,4.2900346114,86,70,5,3
Marruecos,28600,63,46,Musulma.,70,66,50,2.12,50,1062,4,,196,29,6,0.6853146853,3.0261245167,0.9272097882,4.8333333333,3.83,4.4563660331,61,38,6,4
México,91800,46,73,Católica,77,69,87,1.9,35,3604,6,3052,18353,28,5,19.992374728,3.5567847823,1.8204253589,5.6,3.2,4.9628426812,90,85,3,6
Nicaragua,4100,33,60,Católica,67,61,57,2.68,52.5,447,6,2265,66,35,7,1.5348837209,2.6503075231,1.0894695488,5,4.33,3.6127838567,57,57,5,6
Nigeria,98100,102,35,Musulma.,57,54,51,3.1,75,282,4,2312,1148,44,12,0.9622799665,2.4502491083,0.9923395231,3.6666666667,6.4,4.9916690074,62,40,5,4
Noruega,4300,11,75,Protest.,81,74,99,0.4,6.3,17755,1,3326,375,13,10,8.7209302326,4.2493206766,1.5421000897,1.3,2,3.6334684556,,,8,1
Nueva Zelanda,3524,13,84,Protest.,80,73,99,0.57,8.9,14381,1,3362,431,16,8,12.230419977,4.1577890863,1.6500164504,2,2.03,3.5470358997,,,8,3
Omán,1900,7.8,11,Musulma.,70,66,,3.46,36.7,7467,5,,33,40,5,1.7368421053,3.8731461513,1.1167399886,8,6.53,3.278753601,,,1,5
Países Bajos,15400,366,89,Católica,81,75,99,0.58,6.3,17245,1,3151,3055,13,9,19.837662338,4.2366631987,1.817599099,1.4444444444,1.58,4.1875207208,,,8,1
Pakistán,128100,143,32,Musulma.,58,57,35,2.8,101,406,3,,41,42,10,0.0320062451,2.6085260336,0.5023968936,4.2,6.43,5.1075491297,47,21,8,3
Panamá,2600,34,53,Católica,78,71,88,1.94,16.5,2397,6,2539,644,25,5,24.769230769,3.379668034,1.900126452,5,2.9,3.414973348,88,88,5,6
Paraguay,5200,11,48,Católica,75,72,90,2.7,25.2,1500,6,2757,77,33,4.5,1.6041666667,3.1760912591,1.0991321152,7.3333333333,4.3,3.7160033436,92,88,6,6
Perú,23650,18,70,Católica,67,63,85,2,54,1107,6,2186,1068,26,7,4.6637554585,3.0441476209,1.3606522811,3.7142857143,3.11,4.3738311451,92,79,3,6
Polonia,38600,123,62,Católica,77,69,99,0.3,13.8,4429,2,,201,14,10,0.5207253886,3.6463056803,0.877650795,1.4,1.94,4.5865873047,99,98,8,2
Portugal,10500,108,34,Católica,78,71,85,0.36,9.2,9000,1,,1811,12,10,18.292929293,3.9542425094,1.7883670154,1.2,1.5,4.0211892991,89,82,7,1
Rep. C. Africana,3300,5,47,Protest.,44,41,27,2.4,137,457,4,2036,3730,44,21,113.03030303,2.6599162001,2.574180395,2.1,5.42,3.5185139399,33,15,5,4
Rep. Checa,10400,132,,Católica,77,69,,0.21,9.3,7311,2,3632,48,13,11.1,0.4615384615,3.8639767839,0.856725275,1.1711711712,1.84,4.0170333393,,,8,2
Rep. Dominicana,7800,159,60,Católica,70,66,83,1.8,51.5,1034,6,2359,2353,25,6,30.166666667,3.0145205388,1.9765393498,4.1666666667,2.8,3.8920946027,85,82,5,6
Ruanda,8400,311,6,Católica,46,43,50,2.8,117,292,4,1971,10706,49,21,137.25641026,2.4653828514,2.676125814,2.3333333333,8.19,3.9242792861,64,37,8,4
Rumanía,23400,96,54,Ortodoxa,75,69,96,0.06,20.3,2702,2,3155,2736,14,10,11.692307692,3.4316853447,1.6352345221,1.4,1.82,4.3692158574,,,8,2
Rusia,149200,8.8,74,Ortodoxa,74,64,99,0.2,27,6680,2,,136,13,11,0.091152815,3.8247764625,0.6193754923,1.1818181818,1.83,5.1737688231,100,100,9,2
Senegal,8700,43,40,Musulma.,58,55,38,3.1,76,744,4,2369,911,43,12,11.109756098,2.8715729355,1.6186051017,3.5833333333,6.1,3.9395192526,52,25,5,4
Singapur,2900,4456,100,Taoista,79,73,88,1.2,5.7,14990,3,3198,75,16,6,2.5862068966,4.1758016328,1.2092961023,2.6666666667,1.88,3.4623979979,93,84,5,3
Siria,14900,74,50,Musulma.,68,65,64,3.7,43,2436,5,,26,44,6,0.1857142857,3.386677284,0.7141164913,7.3333333333,6.65,4.1731862684,78,51,1,5
Somalia,6667,10,24,Musulma.,55,54,24,3.2,126,2126,4,1906,13,46,13,0.1326530612,3.3275632602,0.6676417016,3.5384615385,7.25,3.8239304551,36,14,1,4
Sudáfrica,43900,35,49,,68,62,76,2.6,47.1,3128,4,,3210,34,8,7.7912621359,3.4952667444,1.5077230115,4.25,4.37,4.6424645202,,,2,4
Suecia,8800,19,84,Protest.,81,75,99,0.52,5.7,16900,1,2960,1001,14,11,11.375,4.2278867046,1.626261127,1.2727272727,2.1,3.9444826722,,,9,1
Suiza,7000,170,62,Católica,82,75,99,0.7,6.2,22384,1,3562,3662,12,9,52.314285714,4.3499376971,2.2066022668,1.3333333333,1.6,3.84509804,,,8,1
Tailandia,59400,115,22,Budista,72,65,93,1.4,37,1800,3,2316,5654,19,6,9.5185185185,3.2552725051,1.569328536,3.1666666667,2.1,4.773786445,96,90,5,3
Taiwan,20944,582,71,Budista,78,72,91,0.92,5.1,7055,3,,,15.6,,,3.8484970181,,,,4.3210596292,,,,3
Tanzania,29800,29,21,Animista,45,41,46,2.5,110,263,4,2206,38719,46,19,129.9295302,2.4199557485,2.6469246208,2.4210526316,6.2,4.4742162641,62,31,6,4
Turquía,62200,79,61,Musulma.,73,69,81,2.02,49,3721,5,3236,130,26,6,0.2103559871,3.57065967,0.7321346738,4.3333333333,3.21,4.7937903847,90,71,8,5
Ucrania,51800,87,67,Ortodoxa,75,65,97,0.05,20.7,2340,2,,27,12,13,0.0517241379,3.3692158574,0.5530172169,0.9230769231,1.82,4.7143297597,100,100,8,2
Uganda,19800,76,11,Católica,43,41,48,2.42,112,325,4,2153,43875,49,24,221.59090909,2.511883361,2.9451701344,2.0416666667,6.77,4.2966651903,62,35,5,4
Uruguay,3200,18,89,Católica,77,71,96,0.8,17,3131,6,2653,469,17,10,14.65625,3.4956830676,1.7108210015,1.7,2.44,3.5051499783,97,96,8,6
Uzbekistán,22600,50,41,Musulma.,72,65,97,2.13,53,1350,5,,2,30,7,0.0090497738,3.1303337685,0.3902361914,4.2857142857,3.73,4.3541084391,100,100,2,5
Venezuela,20600,22,91,Católica,76,70,88,2.16,28,2829,6,2582,3511,26,5,16.483568075,3.4516329475,1.7515004176,5.2,3.05,4.3138672204,90,87,5,6
Vietnam,73100,218,20,Budista,68,63,88,1.78,46,230,3,2233,107,27,8,0.146374829,2.361727836,0.6809155938,3.375,3.33,4.863917377,93,83,5,3
Zambia,9100,11,42,Protest.,45,44,73,2.8,85,573,4,2077,29734,46,18,326.74725275,2.758154622,3.1830421452,2.5555555556,6.68,3.9590413923,81,65,5,4
